,username,text,hashtags
63,CharlyJcaa73,"#SeguridadCiudadana | Elementos de la @FUERZARMADASV ubicaron a un miembro de una estructura criminal en la urbanización La Gloria, Mejicanos, San Salvador. El procedimiento fue entregado a la @PNCSV. https://t.co/YQGBqPZOB0",['SeguridadCiudadana']
64,Notirevista503,"#SeguridadCiudadana | Elementos de la @FUERZARMADASV ubicaron a un miembro de una estructura criminal en la urbanización La Gloria, Mejicanos, San Salvador. El procedimiento fue entregado a la @PNCSV. https://t.co/YQGBqPZOB0",['SeguridadCiudadana']
65,MCHHH03,"#SeguridadCiudadana | Elementos de la @FUERZARMADASV ubicaron a un miembro de una estructura criminal en la urbanización La Gloria, Mejicanos, San Salvador. El procedimiento fue entregado a la @PNCSV. https://t.co/YQGBqPZOB0",['SeguridadCiudadana']
66,Enrique80813905,"#SeguridadCiudadana | La @PNCSV capturó a Elmer Willian Velasquez, alias Spy, un peligroso pandillero que atemorizaba a la población en la colonia Urbina de San Miguel. https://t.co/rddgG8FDj0",['SeguridadCiudadana']
67,golondrinanayib,"#SeguridadCiudadana | Elementos de la @FUERZARMADASV ubicaron a un miembro de una estructura criminal en la urbanización La Gloria, Mejicanos, San Salvador. El procedimiento fue entregado a la @PNCSV. https://t.co/YQGBqPZOB0",['SeguridadCiudadana']
68,DefendamosES,"#SeguridadCiudadana | Elementos de la @FUERZARMADASV ubicaron a un miembro de una estructura criminal en la urbanización La Gloria, Mejicanos, San Salvador. El procedimiento fue entregado a la @PNCSV. https://t.co/YQGBqPZOB0",['SeguridadCiudadana']
69,MiguelR97654502,"#SeguridadCiudadana | Elementos de la @FUERZARMADASV ubicaron a un miembro de una estructura criminal en la urbanización La Gloria, Mejicanos, San Salvador. El procedimiento fue entregado a la @PNCSV. https://t.co/YQGBqPZOB0",['SeguridadCiudadana']
70,GatoEnZumba,"#SeguridadCiudadana | Elementos de la @FUERZARMADASV ubicaron a un miembro de una estructura criminal en la urbanización La Gloria, Mejicanos, San Salvador. El procedimiento fue entregado a la @PNCSV. https://t.co/YQGBqPZOB0",['SeguridadCiudadana']
71,ultimahsv,"#SeguridadCiudadana | Elementos de la @FUERZARMADASV ubicaron a un miembro de una estructura criminal en la urbanización La Gloria, Mejicanos, San Salvador. El procedimiento fue entregado a la @PNCSV. https://t.co/YQGBqPZOB0",['SeguridadCiudadana']
72,HelveticoSV,"#SeguridadCiudadana | La @PNCSV capturó a Elmer Willian Velasquez, alias Spy, un peligroso pandillero que atemorizaba a la población en la colonia Urbina de San Miguel. https://t.co/rddgG8FDj0",['SeguridadCiudadana']
73,EliasDimas514,"#SeguridadCiudadana | Capturan a Raúl Ernesto Díaz Mártir, alias el Pato; y a Joaquín Steve Aguilar López, alias el Negro; en el cantón Tecuma en Izalco, Sonsonate. https://t.co/RXJTWnz2vc",['SeguridadCiudadana']
74,EliasDimas514,"#SeguridadCiudadana | La @PNCSV capturó a Elmer Willian Velasquez, alias Spy, un peligroso pandillero que atemorizaba a la población en la colonia Urbina de San Miguel. https://t.co/rddgG8FDj0",['SeguridadCiudadana']
75,GatoEnZumba,"#SeguridadCiudadana | La @PNCSV capturó a Elmer Willian Velasquez, alias Spy, un peligroso pandillero que atemorizaba a la población en la colonia Urbina de San Miguel. https://t.co/rddgG8FDj0",['SeguridadCiudadana']
76,GatoEnZumba,"#SeguridadCiudadana | Capturan a Raúl Ernesto Díaz Mártir, alias el Pato; y a Joaquín Steve Aguilar López, alias el Negro; en el cantón Tecuma en Izalco, Sonsonate. https://t.co/RXJTWnz2vc",['SeguridadCiudadana']
77,DefendamosES,"#SeguridadCiudadana | La @PNCSV capturó a Elmer Willian Velasquez, alias Spy, un peligroso pandillero que atemorizaba a la población en la colonia Urbina de San Miguel. https://t.co/rddgG8FDj0",['SeguridadCiudadana']
78,LAPUERTADELDIAB,"#SeguridadCiudadana | Capturan a Raúl Ernesto Díaz Mártir, alias el Pato; y a Joaquín Steve Aguilar López, alias el Negro; en el cantón Tecuma en Izalco, Sonsonate. https://t.co/RXJTWnz2vc",['SeguridadCiudadana']
79,ultimahsv,"#SeguridadCiudadana | Capturan a Raúl Ernesto Díaz Mártir, alias el Pato; y a Joaquín Steve Aguilar López, alias el Negro; en el cantón Tecuma en Izalco, Sonsonate. https://t.co/RXJTWnz2vc",['SeguridadCiudadana']
80,Notirevista503,"#SeguridadCiudadana | La @PNCSV capturó a Elmer Willian Velasquez, alias Spy, un peligroso pandillero que atemorizaba a la población en la colonia Urbina de San Miguel. https://t.co/rddgG8FDj0",['SeguridadCiudadana']
81,MCHHH03,"#SeguridadCiudadana | La @PNCSV capturó a Elmer Willian Velasquez, alias Spy, un peligroso pandillero que atemorizaba a la población en la colonia Urbina de San Miguel. https://t.co/rddgG8FDj0",['SeguridadCiudadana']
82,ultimahsv,"#SeguridadCiudadana | La @PNCSV capturó a Elmer Willian Velasquez, alias Spy, un peligroso pandillero que atemorizaba a la población en la colonia Urbina de San Miguel. https://t.co/rddgG8FDj0",['SeguridadCiudadana']
83,salvador_merece,"#SeguridadCiudadana | José Ángel Cruz, alias Moreno, fue detenido en las inmediaciones de la Subdelegación Centro, de Soyapango, por el delito de agrupaciones ilícitas, por el cual podría pasar los siguientes 25 años en prisión. https://t.co/ImWgxJnCFn",['SeguridadCiudadana']
84,Notirevista503,"#SeguridadCiudadana | José Ángel Cruz, alias Moreno, fue detenido en las inmediaciones de la Subdelegación Centro, de Soyapango, por el delito de agrupaciones ilícitas, por el cual podría pasar los siguientes 25 años en prisión. https://t.co/ImWgxJnCFn",['SeguridadCiudadana']
85,LAPUERTADELDIAB,"#SeguridadCiudadana | José Ángel Cruz, alias Moreno, fue detenido en las inmediaciones de la Subdelegación Centro, de Soyapango, por el delito de agrupaciones ilícitas, por el cual podría pasar los siguientes 25 años en prisión. https://t.co/ImWgxJnCFn",['SeguridadCiudadana']
86,Alondra41719354,"#SeguridadCiudadana | José Ángel Cruz, alias Moreno, fue detenido en las inmediaciones de la Subdelegación Centro, de Soyapango, por el delito de agrupaciones ilícitas, por el cual podría pasar los siguientes 25 años en prisión. https://t.co/ImWgxJnCFn",['SeguridadCiudadana']
87,ultimahsv,"#SeguridadCiudadana | José Ángel Cruz, alias Moreno, fue detenido en las inmediaciones de la Subdelegación Centro, de Soyapango, por el delito de agrupaciones ilícitas, por el cual podría pasar los siguientes 25 años en prisión. https://t.co/ImWgxJnCFn",['SeguridadCiudadana']
