,username,text,hashtags
45,GatoEnZumba,"#SeguridadCiudadana | Los pandilleros Wilmer Vladimir Hernández, alias Querubín, Juan Carlos Cruz, alias Títere y Aníbal Hernández Hernández, alias Toby, responderán ante la justicia por varios delitos cometidos en cantones de Cojutepeque. https://t.co/ETvfcyrN2O",['SeguridadCiudadana']
46,ultimahsv,"#SeguridadCiudadana | Los pandilleros Wilmer Vladimir Hernández, alias Querubín, Juan Carlos Cruz, alias Títere y Aníbal Hernández Hernández, alias Toby, responderán ante la justicia por varios delitos cometidos en cantones de Cojutepeque. https://t.co/ETvfcyrN2O",['SeguridadCiudadana']
47,AlexDur28929015,"#SeguridadCiudadana | La @FUERZARMADASV y la @PNCSV capturó a Sarbia Maldonado Salgado, alias Gorda, perfilada como miembro de la Mao Mao y a quien se le incautó una pistola y 6 cartuchos en ctón. Plan del Pino, Cdad. Delgado, San Salvador. https://t.co/KUbSTv4oSG",['SeguridadCiudadana']
48,RosaGui00822395,"#SeguridadCiudadana | La @FUERZARMADASV y la @PNCSV capturó a Sarbia Maldonado Salgado, alias Gorda, perfilada como miembro de la Mao Mao y a quien se le incautó una pistola y 6 cartuchos en ctón. Plan del Pino, Cdad. Delgado, San Salvador. https://t.co/KUbSTv4oSG",['SeguridadCiudadana']
49,YahisCHNews,"#SeguridadCiudadana | La @FUERZARMADASV y la @PNCSV capturó a Sarbia Maldonado Salgado, alias Gorda, perfilada como miembro de la Mao Mao y a quien se le incautó una pistola y 6 cartuchos en ctón. Plan del Pino, Cdad. Delgado, San Salvador. https://t.co/KUbSTv4oSG",['SeguridadCiudadana']
50,GatoEnZumba,"#SeguridadCiudadana | La @FUERZARMADASV y la @PNCSV capturó a Sarbia Maldonado Salgado, alias Gorda, perfilada como miembro de la Mao Mao y a quien se le incautó una pistola y 6 cartuchos en ctón. Plan del Pino, Cdad. Delgado, San Salvador. https://t.co/KUbSTv4oSG",['SeguridadCiudadana']
51,ultimahsv,"#SeguridadCiudadana | La @FUERZARMADASV y la @PNCSV capturó a Sarbia Maldonado Salgado, alias Gorda, perfilada como miembro de la Mao Mao y a quien se le incautó una pistola y 6 cartuchos en ctón. Plan del Pino, Cdad. Delgado, San Salvador. https://t.co/KUbSTv4oSG",['SeguridadCiudadana']
52,Zey89812646,"#SeguridadCiudadana | Un menor de edad, perfilado como miembro de la MS-13 en el caserío La Hacienda Nueva, del cantón Potrero de Batres, San Isidro, Cabañas, fue capturado por la @FUERZARMADASV en conjunto con la @PNCSV. https://t.co/lJQREChpyR",['SeguridadCiudadana']
53,Napo59886638,"#SeguridadCiudadana | Jesús Antonio Guillen Portal, alias Chocovito, quien delinquía en el cantón Cuyagualo en Colón, La Libertad, fue capturado este día.

También, se encargaba de cuidar el ganado de un pandillero prófugo de la justicia, ubicado en la colonia Cinco Cedros. https://t.co/hfkdjYi3VU",['SeguridadCiudadana']
54,GatoEnZumba,"#SeguridadCiudadana | Jesús Antonio Guillen Portal, alias Chocovito, quien delinquía en el cantón Cuyagualo en Colón, La Libertad, fue capturado este día.

También, se encargaba de cuidar el ganado de un pandillero prófugo de la justicia, ubicado en la colonia Cinco Cedros. https://t.co/hfkdjYi3VU",['SeguridadCiudadana']
55,Apocalipsis0809,"#SeguridadCiudadana | Jesús Antonio Guillen Portal, alias Chocovito, quien delinquía en el cantón Cuyagualo en Colón, La Libertad, fue capturado este día.

También, se encargaba de cuidar el ganado de un pandillero prófugo de la justicia, ubicado en la colonia Cinco Cedros. https://t.co/hfkdjYi3VU",['SeguridadCiudadana']
56,ultimahsv,"#SeguridadCiudadana | Jesús Antonio Guillen Portal, alias Chocovito, quien delinquía en el cantón Cuyagualo en Colón, La Libertad, fue capturado este día.

También, se encargaba de cuidar el ganado de un pandillero prófugo de la justicia, ubicado en la colonia Cinco Cedros. https://t.co/hfkdjYi3VU",['SeguridadCiudadana']
57,leopoldoantoni,"#SeguridadCiudadana | Un menor de edad, perfilado como miembro de la MS-13 en el caserío La Hacienda Nueva, del cantón Potrero de Batres, San Isidro, Cabañas, fue capturado por la @FUERZARMADASV en conjunto con la @PNCSV. https://t.co/lJQREChpyR",['SeguridadCiudadana']
58,tuservidor77,"#SeguridadCiudadana | Un menor de edad, perfilado como miembro de la MS-13 en el caserío La Hacienda Nueva, del cantón Potrero de Batres, San Isidro, Cabañas, fue capturado por la @FUERZARMADASV en conjunto con la @PNCSV. https://t.co/lJQREChpyR",['SeguridadCiudadana']
59,RosaGui00822395,"#SeguridadCiudadana | Un menor de edad, perfilado como miembro de la MS-13 en el caserío La Hacienda Nueva, del cantón Potrero de Batres, San Isidro, Cabañas, fue capturado por la @FUERZARMADASV en conjunto con la @PNCSV. https://t.co/lJQREChpyR",['SeguridadCiudadana']
60,ultimahsv,"#SeguridadCiudadana | Un menor de edad, perfilado como miembro de la MS-13 en el caserío La Hacienda Nueva, del cantón Potrero de Batres, San Isidro, Cabañas, fue capturado por la @FUERZARMADASV en conjunto con la @PNCSV. https://t.co/lJQREChpyR",['SeguridadCiudadana']
61,LAPUERTADELDIAB,"#SeguridadCiudadana | Cristian Ernesto Alfaro Rodríguez, alias Caballito, quien se dedicaba a extorsionar a comerciantes y habitantes de San Marcos, fue capturado por la @PNCSV.

El sujeto será puesto a la orden de la @FGR_SV y podría enfrentar hasta 30 años de prisión. https://t.co/FtReLHk0kK",['SeguridadCiudadana']
62,ultimahsv,"#SeguridadCiudadana | Cristian Ernesto Alfaro Rodríguez, alias Caballito, quien se dedicaba a extorsionar a comerciantes y habitantes de San Marcos, fue capturado por la @PNCSV.

El sujeto será puesto a la orden de la @FGR_SV y podría enfrentar hasta 30 años de prisión. https://t.co/FtReLHk0kK",['SeguridadCiudadana']
63,NikiChavez6,"#SeguridadCiudadana | Capturan a Raúl Ernesto Díaz Mártir, alias el Pato; y a Joaquín Steve Aguilar López, alias el Negro; en el cantón Tecuma en Izalco, Sonsonate. https://t.co/RXJTWnz2vc",['SeguridadCiudadana']
64,MiguelR97654502,"#SeguridadCiudadana | #PlanControlTerritorial cumple hoy 3 años de implementación

Nota completa: https://t.co/ZN2ksoLIrY https://t.co/qBaT7kMGfI","['SeguridadCiudadana', 'PlanControlTerritorial']"
65,ultimahsv,"#SeguridadCiudadana | #PlanControlTerritorial cumple hoy 3 años de implementación

Nota completa: https://t.co/ZN2ksoLIrY https://t.co/qBaT7kMGfI","['SeguridadCiudadana', 'PlanControlTerritorial']"
66,HelveticoSV,"#SeguridadCiudadana | Juan Carlos Herrera Ramírez, alias Manota, es un peligroso pandillero, quien tenía un número 18 tatuado en el interior de su labio inferior que intentó cubrirlo con unas letras. https://t.co/Q4gKemRVGc",['SeguridadCiudadana']
67,GatoEnZumba,"#SeguridadCiudadana | Juan Carlos Herrera Ramírez, alias Manota, es un peligroso pandillero, quien tenía un número 18 tatuado en el interior de su labio inferior que intentó cubrirlo con unas letras. https://t.co/Q4gKemRVGc",['SeguridadCiudadana']
68,ultimahsv,"#SeguridadCiudadana | Juan Carlos Herrera Ramírez, alias Manota, es un peligroso pandillero, quien tenía un número 18 tatuado en el interior de su labio inferior que intentó cubrirlo con unas letras. https://t.co/Q4gKemRVGc",['SeguridadCiudadana']
69,Marina20224,"#SeguridadCiudadana | La @PNCSV capturó a Elmer Willian Velasquez, alias Spy, un peligroso pandillero que atemorizaba a la población en la colonia Urbina de San Miguel. https://t.co/rddgG8FDj0",['SeguridadCiudadana']
70,HelveticoSV,"#SeguridadCiudadana | Amílcar Vladimir Vásquez Delgado, alias Cacerola, fue capturado por la @PNCSV, en Ciudad Delgado, San Salvador.

El sujeto es miembro de una estructura criminal y fue fichado desde 2004, por delinquir en diferentes colonias de Mejicanos. https://t.co/iyXneZJtNP",['SeguridadCiudadana']
71,GatoEnZumba,"#SeguridadCiudadana  | Cuatro pandilleros fueron capturados en La Libertad, entre ellos, Luis Gabriel Hernández Cornejo, alias Empanada, palabrero que ordenaba homicidios, extorsiones y otros delitos en el cantón Ateos de Sacacoyo. https://t.co/SmUeWW4WR8",['SeguridadCiudadana']
72,SolNaci29528542,"#SeguridadCiudadana  | Cuatro pandilleros fueron capturados en La Libertad, entre ellos, Luis Gabriel Hernández Cornejo, alias Empanada, palabrero que ordenaba homicidios, extorsiones y otros delitos en el cantón Ateos de Sacacoyo. https://t.co/SmUeWW4WR8",['SeguridadCiudadana']
73,ultimahsv,"#SeguridadCiudadana  | Cuatro pandilleros fueron capturados en La Libertad, entre ellos, Luis Gabriel Hernández Cornejo, alias Empanada, palabrero que ordenaba homicidios, extorsiones y otros delitos en el cantón Ateos de Sacacoyo. https://t.co/SmUeWW4WR8",['SeguridadCiudadana']
74,DefendamosES,"#SeguridadCiudadana | Amílcar Vladimir Vásquez Delgado, alias Cacerola, fue capturado por la @PNCSV, en Ciudad Delgado, San Salvador.

El sujeto es miembro de una estructura criminal y fue fichado desde 2004, por delinquir en diferentes colonias de Mejicanos. https://t.co/iyXneZJtNP",['SeguridadCiudadana']
75,g_xzg,"#SeguridadCiudadana | Amílcar Vladimir Vásquez Delgado, alias Cacerola, fue capturado por la @PNCSV, en Ciudad Delgado, San Salvador.

El sujeto es miembro de una estructura criminal y fue fichado desde 2004, por delinquir en diferentes colonias de Mejicanos. https://t.co/iyXneZJtNP",['SeguridadCiudadana']
76,ultimahsv,"#SeguridadCiudadana | Amílcar Vladimir Vásquez Delgado, alias Cacerola, fue capturado por la @PNCSV, en Ciudad Delgado, San Salvador.

El sujeto es miembro de una estructura criminal y fue fichado desde 2004, por delinquir en diferentes colonias de Mejicanos. https://t.co/iyXneZJtNP",['SeguridadCiudadana']
77,Martikaeche04,"#SeguridadCiudadana | La @PNCSV capturó a Elmer Willian Velasquez, alias Spy, un peligroso pandillero que atemorizaba a la población en la colonia Urbina de San Miguel. https://t.co/rddgG8FDj0",['SeguridadCiudadana']
78,NikiChavez6,"#SeguridadCiudadana | Elementos de la @FUERZARMADASV ubicaron a un miembro de una estructura criminal en la urbanización La Gloria, Mejicanos, San Salvador. El procedimiento fue entregado a la @PNCSV. https://t.co/YQGBqPZOB0",['SeguridadCiudadana']
79,Alejand99468709,"#SeguridadCiudadana | Elementos de la @FUERZARMADASV ubicaron a un miembro de una estructura criminal en la urbanización La Gloria, Mejicanos, San Salvador. El procedimiento fue entregado a la @PNCSV. https://t.co/YQGBqPZOB0",['SeguridadCiudadana']
80,FrancoLastenia,"#SeguridadCiudadana | Elementos de la @FUERZARMADASV ubicaron a un miembro de una estructura criminal en la urbanización La Gloria, Mejicanos, San Salvador. El procedimiento fue entregado a la @PNCSV. https://t.co/YQGBqPZOB0",['SeguridadCiudadana']
